year,congress,president,pres_party,house_majority,senate_majority,house_match,senate_match,divided,control,eo_count,first_year_of_term,year_centered,divided_government
1953,83,eisenhower,R,R,R,TRUE,TRUE,0,unified,90,1,-36,0
1954,83,eisenhower,R,R,R,TRUE,TRUE,0,unified,73,0,-35,0
1955,84,eisenhower,R,D,D,FALSE,FALSE,1,opposition_congress,65,0,-34,1
1956,84,eisenhower,R,D,D,FALSE,FALSE,1,opposition_congress,44,0,-33,1
1957,85,eisenhower,R,D,D,FALSE,FALSE,1,opposition_congress,54,0,-32,1
1958,85,eisenhower,R,D,D,FALSE,FALSE,1,opposition_congress,50,0,-31,1
1959,86,eisenhower,R,D,D,FALSE,FALSE,1,opposition_congress,60,0,-30,1
1960,86,eisenhower,R,D,D,FALSE,FALSE,1,opposition_congress,42,0,-29,1
1961,87,kennedy,D,D,D,TRUE,TRUE,0,unified,84,1,-28,0
1962,87,kennedy,D,D,D,TRUE,TRUE,0,unified,88,0,-27,0
1963,88,kennedy,D,D,D,TRUE,TRUE,0,unified,62,0,-26,0
1964,88,johnson,D,D,D,TRUE,TRUE,0,unified,56,0,-25,0
1965,89,johnson,D,D,D,TRUE,TRUE,0,unified,74,1,-24,0
1966,89,johnson,D,D,D,TRUE,TRUE,0,unified,57,0,-23,0
1967,90,johnson,D,D,D,TRUE,TRUE,0,unified,65,0,-22,0
1968,90,johnson,D,D,D,TRUE,TRUE,0,unified,56,0,-21,0
1969,91,nixon,R,D,D,FALSE,FALSE,1,opposition_congress,61,1,-20,1
1970,91,nixon,R,D,D,FALSE,FALSE,1,opposition_congress,72,0,-19,1
1971,92,nixon,R,D,D,FALSE,FALSE,1,opposition_congress,63,0,-18,1
1972,92,nixon,R,D,D,FALSE,FALSE,1,opposition_congress,55,0,-17,1
1973,93,nixon,R,D,D,FALSE,FALSE,1,opposition_congress,64,0,-16,1
1974,93,ford,R,D,D,FALSE,FALSE,1,opposition_congress,69,1,-15,1
1975,94,ford,R,D,D,FALSE,FALSE,1,opposition_congress,67,0,-14,1
1976,94,ford,R,D,D,FALSE,FALSE,1,opposition_congress,56,0,-13,1
1977,95,carter,D,D,D,TRUE,TRUE,0,unified,83,1,-12,0
1978,95,carter,D,D,D,TRUE,TRUE,0,unified,78,0,-11,0
1979,96,carter,D,D,D,TRUE,TRUE,0,unified,77,0,-10,0
1980,96,carter,D,D,D,TRUE,TRUE,0,unified,73,0,-9,0
1981,97,reagan,R,D,R,FALSE,TRUE,1,split_congress,76,1,-8,1
1982,97,reagan,R,D,R,FALSE,TRUE,1,split_congress,63,0,-7,1
1983,98,reagan,R,D,R,FALSE,TRUE,1,split_congress,57,0,-6,1
1984,98,reagan,R,D,R,FALSE,TRUE,1,split_congress,41,0,-5,1
1985,99,reagan,R,D,R,FALSE,TRUE,1,split_congress,45,0,-4,1
1986,99,reagan,R,D,R,FALSE,TRUE,1,split_congress,37,0,-3,1
1987,100,reagan,R,D,D,FALSE,FALSE,1,opposition_congress,43,0,-2,1
1988,100,reagan,R,D,D,FALSE,FALSE,1,opposition_congress,40,0,-1,1
1989,101,bush_hw,R,D,D,FALSE,FALSE,1,opposition_congress,36,1,0,1
1990,101,bush_hw,R,D,D,FALSE,FALSE,1,opposition_congress,43,0,1,1
1991,102,bush_hw,R,D,D,FALSE,FALSE,1,opposition_congress,46,0,2,1
1992,102,bush_hw,R,D,D,FALSE,FALSE,1,opposition_congress,40,0,3,1
1993,103,clinton,D,D,D,TRUE,TRUE,0,unified,62,1,4,0
1994,103,clinton,D,D,D,TRUE,TRUE,0,unified,54,0,5,0
1995,104,clinton,D,R,R,FALSE,FALSE,1,opposition_congress,41,0,6,1
1996,104,clinton,D,R,R,FALSE,FALSE,1,opposition_congress,49,0,7,1
1997,105,clinton,D,R,R,FALSE,FALSE,1,opposition_congress,38,0,8,1
1998,105,clinton,D,R,R,FALSE,FALSE,1,opposition_congress,38,0,9,1
1999,106,clinton,D,R,R,FALSE,FALSE,1,opposition_congress,35,0,10,1
2000,106,clinton,D,R,R,FALSE,FALSE,1,opposition_congress,41,0,11,1
2001,107,bush_w,R,R,D,TRUE,FALSE,1,split_congress,66,1,12,1
2002,107,bush_w,R,R,D,TRUE,FALSE,1,split_congress,31,0,13,1
2003,108,bush_w,R,R,R,TRUE,TRUE,0,unified,41,0,14,0
2004,108,bush_w,R,R,R,TRUE,TRUE,0,unified,45,0,15,0
2005,109,bush_w,R,R,R,TRUE,TRUE,0,unified,26,0,16,0
2006,109,bush_w,R,R,R,TRUE,TRUE,0,unified,27,0,17,0
2007,110,bush_w,R,D,D,FALSE,FALSE,1,opposition_congress,32,0,18,1
2008,110,bush_w,R,D,D,FALSE,FALSE,1,opposition_congress,30,0,19,1
2009,111,obama,D,D,D,TRUE,TRUE,0,unified,44,1,20,0
2010,111,obama,D,D,D,TRUE,TRUE,0,unified,35,0,21,0
2011,112,obama,D,R,D,FALSE,TRUE,1,split_congress,34,0,22,1
2012,112,obama,D,R,D,FALSE,TRUE,1,split_congress,39,0,23,1
2013,113,obama,D,R,D,FALSE,TRUE,1,split_congress,20,0,24,1
2014,113,obama,D,R,D,FALSE,TRUE,1,split_congress,31,0,25,1
2015,114,obama,D,R,R,FALSE,FALSE,1,opposition_congress,29,0,26,1
2016,114,obama,D,R,R,FALSE,FALSE,1,opposition_congress,42,0,27,1
2017,115,trump_1,R,R,R,TRUE,TRUE,0,unified,62,1,28,0
2018,115,trump_1,R,R,R,TRUE,TRUE,0,unified,37,0,29,0
2019,116,trump_1,R,D,R,FALSE,TRUE,1,split_congress,45,0,30,1
2020,116,trump_1,R,D,R,FALSE,TRUE,1,split_congress,69,0,31,1
2021,117,biden,D,D,D,TRUE,TRUE,0,unified,91,1,32,0
2022,117,biden,D,D,D,TRUE,TRUE,0,unified,29,0,33,0
2023,118,biden,D,R,D,FALSE,TRUE,1,split_congress,24,0,34,1
2024,118,biden,D,R,D,FALSE,TRUE,1,split_congress,19,0,35,1
2025,119,trump_2,R,R,R,TRUE,TRUE,0,unified,238,1,36,0
