year,congress,president,pres_party,house_majority,senate_majority,house_match,senate_match,divided,control
1953,83,eisenhower,R,R,R,TRUE,TRUE,0,unified
1954,83,eisenhower,R,R,R,TRUE,TRUE,0,unified
1955,84,eisenhower,R,D,D,FALSE,FALSE,1,opposition_congress
1956,84,eisenhower,R,D,D,FALSE,FALSE,1,opposition_congress
1957,85,eisenhower,R,D,D,FALSE,FALSE,1,opposition_congress
1958,85,eisenhower,R,D,D,FALSE,FALSE,1,opposition_congress
1959,86,eisenhower,R,D,D,FALSE,FALSE,1,opposition_congress
1960,86,eisenhower,R,D,D,FALSE,FALSE,1,opposition_congress
1961,87,kennedy,D,D,D,TRUE,TRUE,0,unified
1962,87,kennedy,D,D,D,TRUE,TRUE,0,unified
1963,88,kennedy,D,D,D,TRUE,TRUE,0,unified
1964,88,johnson,D,D,D,TRUE,TRUE,0,unified
1965,89,johnson,D,D,D,TRUE,TRUE,0,unified
1966,89,johnson,D,D,D,TRUE,TRUE,0,unified
1967,90,johnson,D,D,D,TRUE,TRUE,0,unified
1968,90,johnson,D,D,D,TRUE,TRUE,0,unified
1969,91,nixon,R,D,D,FALSE,FALSE,1,opposition_congress
1970,91,nixon,R,D,D,FALSE,FALSE,1,opposition_congress
1971,92,nixon,R,D,D,FALSE,FALSE,1,opposition_congress
1972,92,nixon,R,D,D,FALSE,FALSE,1,opposition_congress
1973,93,nixon,R,D,D,FALSE,FALSE,1,opposition_congress
1974,93,ford,R,D,D,FALSE,FALSE,1,opposition_congress
1975,94,ford,R,D,D,FALSE,FALSE,1,opposition_congress
1976,94,ford,R,D,D,FALSE,FALSE,1,opposition_congress
1977,95,carter,D,D,D,TRUE,TRUE,0,unified
1978,95,carter,D,D,D,TRUE,TRUE,0,unified
1979,96,carter,D,D,D,TRUE,TRUE,0,unified
1980,96,carter,D,D,D,TRUE,TRUE,0,unified
1981,97,reagan,R,D,R,FALSE,TRUE,1,split_congress
1982,97,reagan,R,D,R,FALSE,TRUE,1,split_congress
1983,98,reagan,R,D,R,FALSE,TRUE,1,split_congress
1984,98,reagan,R,D,R,FALSE,TRUE,1,split_congress
1985,99,reagan,R,D,R,FALSE,TRUE,1,split_congress
1986,99,reagan,R,D,R,FALSE,TRUE,1,split_congress
1987,100,reagan,R,D,D,FALSE,FALSE,1,opposition_congress
1988,100,reagan,R,D,D,FALSE,FALSE,1,opposition_congress
1989,101,bush_hw,R,D,D,FALSE,FALSE,1,opposition_congress
1990,101,bush_hw,R,D,D,FALSE,FALSE,1,opposition_congress
1991,102,bush_hw,R,D,D,FALSE,FALSE,1,opposition_congress
1992,102,bush_hw,R,D,D,FALSE,FALSE,1,opposition_congress
1993,103,clinton,D,D,D,TRUE,TRUE,0,unified
1994,103,clinton,D,D,D,TRUE,TRUE,0,unified
1995,104,clinton,D,R,R,FALSE,FALSE,1,opposition_congress
1996,104,clinton,D,R,R,FALSE,FALSE,1,opposition_congress
1997,105,clinton,D,R,R,FALSE,FALSE,1,opposition_congress
1998,105,clinton,D,R,R,FALSE,FALSE,1,opposition_congress
1999,106,clinton,D,R,R,FALSE,FALSE,1,opposition_congress
2000,106,clinton,D,R,R,FALSE,FALSE,1,opposition_congress
2001,107,bush_w,R,R,D,TRUE,FALSE,1,split_congress
2002,107,bush_w,R,R,D,TRUE,FALSE,1,split_congress
2003,108,bush_w,R,R,R,TRUE,TRUE,0,unified
2004,108,bush_w,R,R,R,TRUE,TRUE,0,unified
2005,109,bush_w,R,R,R,TRUE,TRUE,0,unified
2006,109,bush_w,R,R,R,TRUE,TRUE,0,unified
2007,110,bush_w,R,D,D,FALSE,FALSE,1,opposition_congress
2008,110,bush_w,R,D,D,FALSE,FALSE,1,opposition_congress
2009,111,obama,D,D,D,TRUE,TRUE,0,unified
2010,111,obama,D,D,D,TRUE,TRUE,0,unified
2011,112,obama,D,R,D,FALSE,TRUE,1,split_congress
2012,112,obama,D,R,D,FALSE,TRUE,1,split_congress
2013,113,obama,D,R,D,FALSE,TRUE,1,split_congress
2014,113,obama,D,R,D,FALSE,TRUE,1,split_congress
2015,114,obama,D,R,R,FALSE,FALSE,1,opposition_congress
2016,114,obama,D,R,R,FALSE,FALSE,1,opposition_congress
2017,115,trump_1,R,R,R,TRUE,TRUE,0,unified
2018,115,trump_1,R,R,R,TRUE,TRUE,0,unified
2019,116,trump_1,R,D,R,FALSE,TRUE,1,split_congress
2020,116,trump_1,R,D,R,FALSE,TRUE,1,split_congress
2021,117,biden,D,D,D,TRUE,TRUE,0,unified
2022,117,biden,D,D,D,TRUE,TRUE,0,unified
2023,118,biden,D,R,D,FALSE,TRUE,1,split_congress
2024,118,biden,D,R,D,FALSE,TRUE,1,split_congress
2025,119,trump_2,R,R,R,TRUE,TRUE,0,unified
