signing_year,signing_date,eo_number,president,title
1953,1953-01-09,10422,harry-s-truman,Prescribing Procedures for Making Available to the Secretary General of the United Nations Certain Information Concerning United States Citizens Employed or Being Considered for Employment on the Secretariat of the United Nations
1953,1953-01-14,10423,harry-s-truman,Conferring a Competitive Civil-Service Status Upon William P. Francisco Without Regard to the Competitive Provisions of the Civil Service Rules and Regulations
1953,1953-01-15,10424,harry-s-truman,Authorizing Competitive Status for Norman E. Prince Without Compliance With the Competitive Provisions of the Civil Service Rules and Regulations
1953,1953-01-16,10427,harry-s-truman,Administration of Disaster Relief
1953,1953-01-16,10426,harry-s-truman,Setting Aside Submerged Lands of the Continental Shelf as a Naval Petroleum Reserve
1953,1953-01-16,10425,harry-s-truman,Extensions of Time Relating to the Disposition of Certain Housing
1953,1953-01-17,10430,harry-s-truman,Authorizing the Appointment of Mrs. Beth Campbell Short to a Competitive Position Without Regard to the Civil Service Rules and Regulations
1953,1953-01-17,10429,harry-s-truman,Establishing the Korean Service Medal
1953,1953-01-17,10428,harry-s-truman,Delegating to the Secretary of Defense the Authority of the President To Empower Certain Commanding Officers of the Armed Forces To Convene General Courts-Martial
1953,1953-01-19,10431,harry-s-truman,National Security Medal
1953,1953-01-24,10432,dwight-d-eisenhower,Establishing the President&#39;s Advisory Committee on Government Organization
1953,1953-02-04,10433,dwight-d-eisenhower,"Further Providing for the Administration of the Defense Production Act of 1950, as Amended"
1953,1953-02-06,10435,dwight-d-eisenhower,"Inspection of Income, Excess-Profits, Declared Value Excess-Profits, Capital Stock, Estate, and Gift Tax Returns by the Senate Committee on Government Operations"
1953,1953-02-06,10434,dwight-d-eisenhower,"Suspension of Wage and Salary Controls Under the Defense Production Act of 1950, as Amended"
1953,1953-02-20,10437,dwight-d-eisenhower,"Designating the Honorable Benjamin Ortiz To Act, Under Certain Circumstances, as Judge of the United States District Court for the District of Puerto Rico During the Year 1953"
1953,1953-02-20,10436,dwight-d-eisenhower,"Reserving Kahoolawe Island, Territory of Hawaii, for the Use of the United States for Naval Purposes and Placing it Under the Jurisdiction of the Secretary of the Navy"
